Generations,MaxFitness,MinFitness,MeanFitness,StdFitness,MaxLinks,MinLinks,MeanLinks,Best_Bot_Fit,Best_Bot_Link,Best_Bot_Distance_to_Peak
0,0.0765201780151254,0.06655353558995117,0.07085326747324212,0.0024598217137327206,7,7,7.0,0.0765201780151254,7,12.068448426797106
1,0.07657199454054213,0.06734027920985568,0.07078736486968766,0.00259591699749725,9,5,7.0,0.07657199454054213,9,12.059604963934117
2,0.07676891508711528,0.06787123257443457,0.07107825537298051,0.002795584247863044,11,5,7.0,0.07676891508711528,7,12.02610566874922
3,0.07752017494427368,0.06734027920985568,0.07090542572443137,0.0028008496185661963,11,5,7.0,0.07752017494427368,9,11.899867688880503
4,0.07752017494427368,0.06664647969832549,0.07065832091868494,0.002698261500123154,11,5,6.0,0.07752017494427368,9,11.899867688880503
5,0.07752017494427368,0.06719297523264876,0.070287524638243,0.002599106235327985,9,5,6.0,0.07752017494427368,9,11.899867688880503
6,0.0777435691901177,0.06562948389135388,0.07057670935643844,0.0028889296247858426,9,5,6.0,0.0777435691901177,9,11.862800234377637
7,0.0777435691901177,0.06631183627359324,0.07093914039093761,0.003294615360058618,11,5,6.0,0.0777435691901177,9,11.862800234377637
8,0.0777435691901177,0.06686897185673583,0.07139078348428682,0.003252253702708187,11,5,6.0,0.0777435691901177,9,11.862800234377637
9,0.0777435691901177,0.06675465187777326,0.07194267432509366,0.003224098374848824,11,5,6.0,0.0777435691901177,9,11.862800234377637
10,0.07803835478305406,0.06713385196535158,0.07178195486674106,0.0030778425678372147,11,5,7.0,0.07803835478305406,11,11.814211713970536
11,0.07803835478305406,0.06717886272584117,0.07183664946721836,0.0029040990297548278,13,5,7.0,0.07803835478305406,11,11.814211713970536
12,0.07803835478305406,0.06739846198037125,0.07182750361374497,0.003026778169228302,11,5,7.0,0.07803835478305406,11,11.814211713970536
13,0.07803835478305406,0.06767323106777469,0.07209172345002797,0.0030467492184168823,11,5,7.0,0.07803835478305406,11,11.814211713970536
14,0.07803835478305406,0.06634295119718121,0.07222843460750238,0.00305635499712268,11,5,7.0,0.07803835478305406,11,11.814211713970536
15,0.07803835478305406,0.0665621590270124,0.0721255649355475,0.0032168308346096235,13,5,7.0,0.07803835478305406,11,11.814211713970536
16,0.07823728031978774,0.06659638914642087,0.07200029227835239,0.0031596040193386573,13,5,7.0,0.07823728031978774,9,11.781630392986454
17,0.07823728031978774,0.06722331755691079,0.07234907277607305,0.00321258051867268,11,5,7.0,0.07823728031978774,9,11.781630392986454
18,0.07862784710770232,0.000992063492063492,0.07062821456700959,0.010403197601317405,11,5,6.0,0.07862784710770232,7,11.718140414428833
19,0.07862784710770232,0.06726169874021778,0.07191171718802884,0.0031653284862450193,11,5,6.0,0.07862784710770232,7,11.718140414428833
20,0.07873619353782067,0.06716623895494402,0.07211175935454482,0.003185323630596047,13,5,6.0,0.07873619353782067,7,11.700639376472438
21,0.07873619353782067,0.06702398853241502,0.07180953595284505,0.00324006605095866,11,5,6.0,0.07873619353782067,7,11.700639376472438
22,0.07873619353782067,0.06710231161278264,0.07184831737057565,0.0031700284801550105,11,5,6.0,0.07873619353782067,7,11.700639376472438
23,0.07873619353782067,0.06680137876082926,0.0717175960416851,0.00318193228041501,11,5,6.0,0.07873619353782067,7,11.700639376472438
24,0.07873863473589966,0.06713822231771917,0.07267144800357309,0.0032996276618004815,9,5,6.0,0.07873863473589966,9,11.700245608196525
25,0.07887845175719403,0.06773232934960778,0.07259708222064086,0.0033110344651661253,11,5,6.0,0.07887845175719403,7,11.677733623350385
26,0.07887845175719403,0.06688484079793049,0.07250494338767745,0.003402389592743469,9,5,6.0,0.07887845175719403,7,11.677733623350385
27,0.07887845175719403,0.06698584071180887,0.07241243821041314,0.0035433997454155258,11,5,6.0,0.07887845175719403,7,11.677733623350385
28,0.07887845175719403,0.06721590726570617,0.0729918686153409,0.0033246631482576746,13,5,7.0,0.07887845175719403,7,11.677733623350385
29,0.07887845175719403,0.06721590726570617,0.07337614141240077,0.0035664883592029482,11,5,7.0,0.07887845175719403,7,11.677733623350385
30,0.07887845175719403,0.06721590726570617,0.07336480337375165,0.0033191749200360532,11,5,7.0,0.07887845175719403,7,11.677733623350385
31,0.07887845175719403,0.06721590726570617,0.07322126875506327,0.0034223242269853455,11,5,7.0,0.07887845175719403,7,11.677733623350385
32,0.07887845175719403,0.06709408985095408,0.07332177349245338,0.0033002822909292636,13,5,6.0,0.07887845175719403,7,11.677733623350385
33,0.07887845175719403,0.06727888032212608,0.07353555106700205,0.0031610687738946146,11,5,7.0,0.07887845175719403,7,11.677733623350385
34,0.07887845175719403,0.06738447360250682,0.07326700851600992,0.0030806844494697364,11,5,6.0,0.07887845175719403,7,11.677733623350385
35,0.07888972440820351,0.06574921082272198,0.07323897477897076,0.0029434625445513506,11,5,6.0,0.07888972440820351,7,11.675922086197742
36,0.07901922626643718,0.06722841158325116,0.07305660493617949,0.0030438429196199884,11,5,6.0,0.07901922626643718,5,11.655147958905573
37,0.0791086380847611,0.06782496260577339,0.07321838528837743,0.0030282955335706294,11,5,6.0,0.0791086380847611,7,11.64084459308411
38,0.07932253281776147,0.06626345065093134,0.07315547594085951,0.0031948702824380146,11,5,6.0,0.07932253281776147,5,11.606758312892469
39,0.07932253281776147,0.06626345065093134,0.07324997788048461,0.003317777556122909,11,5,6.0,0.07932253281776147,5,11.606758312892469
40,0.07935372087680051,0.000992063492063492,0.07247733536806361,0.0077536570616328696,11,5,6.0,0.07935372087680051,7,11.601803531715113
41,0.07935372087680051,0.06711710655563188,0.07267408583483528,0.0028306069126888354,11,5,7.0,0.07935372087680051,7,11.601803531715113
42,0.07935372087680051,0.06711710655563188,0.07303222474113243,0.0028902891535731294,13,5,7.0,0.07935372087680051,7,11.601803531715113
43,0.07936969864998851,0.06711710655563188,0.07311687868605342,0.0027205647942698647,13,5,7.0,0.07936969864998851,7,11.59926668500895
44,0.07936969864998851,0.06804603589700667,0.07277752822143352,0.0025972575950750426,13,5,7.0,0.07936969864998851,7,11.59926668500895
45,0.07936969864998851,0.06707390180071449,0.07283312516213825,0.002738726911137724,11,5,6.0,0.07936969864998851,7,11.59926668500895
46,0.07936969864998851,0.06667986270041841,0.0731235400910135,0.002932697615324639,13,5,6.0,0.07936969864998851,7,11.59926668500895
47,0.07936969864998851,0.06667986270041841,0.07264166432818657,0.00274409604741608,11,5,6.0,0.07936969864998851,7,11.59926668500895
48,0.07936969864998851,0.06683130260957819,0.07278809032224899,0.0027025639849057232,11,5,6.0,0.07936969864998851,7,11.59926668500895
49,0.07936969864998851,0.06694343370784793,0.0727610731340638,0.0028416143033330532,11,5,6.0,0.07936969864998851,7,11.59926668500895
50,0.07936969864998851,0.06683130260957819,0.07214662040377416,0.0028993627814842314,11,5,6.0,0.07936969864998851,7,11.59926668500895
51,0.07936969864998851,0.06702275738202755,0.07180643223259472,0.0028363347456566634,11,5,6.0,0.07936969864998851,7,11.59926668500895
52,0.07936969864998851,0.06705905504613989,0.0721403923157399,0.002944223123396205,11,5,6.0,0.07936969864998851,7,11.59926668500895
53,0.07936969864998851,0.06696516827728119,0.07261531446215683,0.00277783552611031,11,5,6.0,0.07936969864998851,7,11.59926668500895
54,0.07936969864998851,0.06684022535733643,0.07241800734168584,0.003130850134839233,11,5,6.0,0.07936969864998851,7,11.59926668500895
55,0.07936969864998851,0.06682672241538085,0.07291068274069333,0.0030861657217056515,11,5,6.0,0.07936969864998851,7,11.59926668500895
56,0.07936969864998851,0.06629880245933562,0.0724012463755418,0.0031712356185179414,11,5,6.0,0.07936969864998851,7,11.59926668500895
57,0.07936969864998851,0.06682089868093584,0.07271103943864014,0.0033122791416453925,11,5,6.0,0.07936969864998851,7,11.59926668500895
58,0.07936969864998851,0.06679470493146861,0.07265459978245105,0.0032905770302471917,11,5,6.0,0.07936969864998851,7,11.59926668500895
59,0.07936969864998851,0.06628748421992588,0.07237586707516389,0.0034090673884824693,11,5,6.0,0.07936969864998851,7,11.59926668500895
60,0.07936969864998851,0.06669307996915583,0.07230513687937207,0.00352612481695926,11,5,6.0,0.07936969864998851,7,11.59926668500895
61,0.07936969864998851,0.06670709319849209,0.07220591446099235,0.0034391450209865933,9,5,6.0,0.07936969864998851,7,11.59926668500895
62,0.07936969864998851,0.06670709319849209,0.07248798111438488,0.0032949075661370666,11,5,6.0,0.07936969864998851,7,11.59926668500895
63,0.07936969864998851,0.06667430789997526,0.0721759365387695,0.0034843810567483867,9,5,6.0,0.07936969864998851,7,11.59926668500895
64,0.07936969864998851,0.06670709319849209,0.0724212371677921,0.003357403455922456,9,5,6.0,0.07936969864998851,7,11.59926668500895
65,0.07936969864998851,0.06670709319849209,0.07208591791690476,0.00326340383217283,11,5,6.0,0.07936969864998851,7,11.59926668500895
66,0.07936969864998851,0.000992063492063492,0.0716501205891138,0.007881819350425296,11,5,7.0,0.07936969864998851,7,11.59926668500895
67,0.07936969864998851,0.06712298135895621,0.07258868825212501,0.003464115872609304,11,5,7.0,0.07936969864998851,7,11.59926668500895
68,0.07936969864998851,0.06599085910938123,0.07267882852127222,0.0034756589733642342,13,5,7.0,0.07936969864998851,7,11.59926668500895
69,0.07936969864998851,0.06670823950548212,0.07243538602845298,0.003422060217664638,13,5,6.0,0.07936969864998851,7,11.59926668500895
70,0.07936969864998851,0.06682144904014191,0.07209595757534483,0.0033700507305026444,11,5,6.0,0.07936969864998851,7,11.59926668500895
71,0.07936969864998851,0.06609501393933365,0.07157387213017168,0.003388765921846725,11,5,6.0,0.07936969864998851,7,11.59926668500895
72,0.07936969864998851,0.06609501393933365,0.07183787425238623,0.0034160834531061684,11,5,6.0,0.07936969864998851,7,11.59926668500895
