Generations,MaxFitness,MinFitness,MeanFitness,StdFitness,MaxLinks,MinLinks,MeanLinks,Best_Bot_Fit,Best_Bot_Link,Best_Bot_Distance_to_Peak
78,-4.530320787319319,-7.548799371711772,-5.430946751842773,0.7174165473842735,15,5,8.0,-4.530320787319319,11,9.185372441252209
79,-4.530320787319319,-7.312386132848536,-5.510497988393383,0.7938127360149096,15,5,8.0,-4.530320787319319,11,9.185372441252209
80,-4.530320787319319,-7.671063099948443,-5.348928177468992,0.6712229516697812,15,7,8.0,-4.530320787319319,11,9.185372441252209
81,-4.530320787319319,-7.560948587766704,-5.370548580767496,0.7612125385098893,17,5,8.0,-4.530320787319319,11,9.185372441252209
82,-4.530320787319319,-7.611278121400503,-5.34712617746482,0.7951638167229168,15,5,8.0,-4.530320787319319,11,9.185372441252209
83,-4.530320787319319,-7.538147022018486,-5.268155168023461,0.6285677954558815,15,5,8.0,-4.530320787319319,11,9.185372441252209
84,-4.530320787319319,-7.560948587766704,-5.407683289919645,0.7200800938738325,15,5,8.0,-4.530320787319319,11,9.185372441252209
85,-4.530320787319319,-7.560948587766704,-5.485529670861492,0.7160435085634922,15,5,8.0,-4.530320787319319,11,9.185372441252209
86,-4.530320787319319,-7.617358732217156,-5.445836077135229,0.7387722114929495,15,5,8.0,-4.530320787319319,11,9.185372441252209
87,-4.530320787319319,-7.374133520780252,-5.5343004130912945,0.7489383931919,13,5,8.0,-4.530320787319319,11,9.185372441252209
88,-4.528676878840615,-7.264242642970837,-5.51953017054277,0.774856475403582,15,5,8.0,-4.528676878840615,11,9.180895587559084
89,-4.528676878840615,-7.560948587766704,-5.472905436631688,0.7279552422450268,15,5,8.0,-4.528676878840615,11,9.180895587559084
90,-4.528676878840615,-7.491562774030821,-5.533554237896397,0.7554559411533464,15,5,8.0,-4.528676878840615,11,9.180895587559084
91,-4.528676878840615,-7.22411228613795,-5.527248901893138,0.7162087460126595,15,5,8.0,-4.528676878840615,11,9.180895587559084
92,-4.528676878840615,-7.780127388485879,-5.543953529143605,0.7341406471605971,15,5,8.0,-4.528676878840615,11,9.180895587559084
93,-4.528676878840615,-7.826856935122339,-5.617441192089164,0.7362731376872487,13,5,8.0,-4.528676878840615,11,9.180895587559084
94,-4.528676878840615,-7.741872766801593,-5.695023876184516,0.7716668750616872,15,5,8.0,-4.528676878840615,11,9.180895587559084
95,-4.528676878840615,-7.741872766801593,-5.544984406298161,0.6244745167318004,13,5,8.0,-4.528676878840615,11,9.180895587559084
96,-4.528676878840615,-7.6206385182379845,-5.617485298440568,0.6931235774138272,13,5,8.0,-4.528676878840615,11,9.180895587559084
97,-4.528676878840615,-7.487645686353056,-5.719703674334576,0.7380664907341957,15,5,8.0,-4.528676878840615,11,9.180895587559084
98,-4.528676878840615,-7.652151190604371,-5.581594370169778,0.7495738499192657,13,5,8.0,-4.528676878840615,11,9.180895587559084
99,-4.528676878840615,-7.6448174355101735,-5.68845449999131,0.8213412145160554,13,5,8.0,-4.528676878840615,11,9.180895587559084
100,-4.528676878840615,-7.787557473246978,-5.5612794852533485,0.7428739392928186,15,5,8.0,-4.528676878840615,11,9.180895587559084
101,-4.528676878840615,-7.268033172378141,-5.611135484043054,0.7322972959063352,17,5,8.0,-4.528676878840615,11,9.180895587559084
102,-4.528676878840615,-8.124408384399374,-5.545573046827297,0.753205026329478,17,5,8.0,-4.528676878840615,11,9.180895587559084
103,-4.528676878840615,-7.876622747944239,-5.5355941185092545,0.7116373082405721,15,7,8.0,-4.528676878840615,11,9.180895587559084
104,-4.528676878840615,-7.5705537595747865,-5.589167779358897,0.6787043225658685,13,5,8.0,-4.528676878840615,11,9.180895587559084
105,-4.528676878840615,-7.7848711760436045,-5.65682522503967,0.7494781931271978,15,5,9.0,-4.528676878840615,11,9.180895587559084
106,-4.528676878840615,-7.6765401589526885,-5.729823621065536,0.7494573605836183,17,5,8.0,-4.528676878840615,11,9.180895587559084
107,-4.528676878840615,-7.3194201319312056,-5.597432515063049,0.7036379639376307,15,5,9.0,-4.528676878840615,11,9.180895587559084
108,-4.528676878840615,-7.842504753897304,-5.50799287116997,0.7853212890156739,15,5,8.0,-4.528676878840615,11,9.180895587559084
109,-4.528676878840615,-7.329623842279345,-5.599788115632781,0.8291789661759439,15,5,8.0,-4.528676878840615,11,9.180895587559084
110,-4.528676878840615,-7.3496737851266705,-5.553396180879081,0.727026281234492,15,7,8.0,-4.528676878840615,11,9.180895587559084
111,-4.516275173747878,-7.551632873524983,-5.378024063001998,0.6771102077996869,11,5,8.0,-4.516275173747878,9,9.193935710981062
112,-4.516275173747878,-7.397818462328139,-5.5157920245288885,0.7215556156013702,13,5,8.0,-4.516275173747878,9,9.193935710981062
113,-4.516275173747878,-7.397818462328139,-5.5810541918525844,0.7072294291327341,15,5,8.0,-4.516275173747878,9,9.193935710981062
114,-4.516275173747878,-7.842591568793139,-5.581982564409132,0.7510050699929757,15,5,8.0,-4.516275173747878,9,9.193935710981062
115,-4.503081773967195,-7.281286151694174,-5.563058990812809,0.698424479636405,15,5,8.0,-4.503081773967195,9,9.146045883427785
116,-4.503081773967195,-7.582361661060506,-5.494866206678036,0.7192981589814126,15,5,8.0,-4.503081773967195,9,9.146045883427785
117,-4.503081773967195,-7.376351414899989,-5.617711148112655,0.7473032080639865,15,5,8.0,-4.503081773967195,9,9.146045883427785
118,-4.503081773967195,-7.569878510537243,-5.551422715978947,0.7423053724775704,13,7,8.0,-4.503081773967195,9,9.146045883427785
119,-4.503081773967195,-7.636474830861869,-5.50571624002296,0.7150407443756913,19,5,8.0,-4.503081773967195,9,9.146045883427785
120,-4.503081773967195,-7.247946844312675,-5.500622011142831,0.7141973892735991,15,5,8.0,-4.503081773967195,9,9.146045883427785
121,-4.503081773967195,-7.34838507085757,-5.495957324836142,0.6959103529940869,15,5,8.0,-4.503081773967195,9,9.146045883427785
122,-4.503081773967195,-7.6114169121348265,-5.640088105639784,0.7642389933812769,15,5,8.0,-4.503081773967195,9,9.146045883427785
123,-4.503081773967195,-6.982321628030184,-5.4989201852457485,0.6586916450366305,19,5,8.0,-4.503081773967195,9,9.146045883427785
124,-4.501562244716792,-9999.0,-105.45553185606778,994.3388506985997,15,7,8.0,-4.501562244716792,9,9.146464736996057
125,-4.501562244716792,-7.753041512116696,-5.732778595544789,0.672593713489683,15,5,8.0,-4.501562244716792,9,9.146464736996057
126,-4.495402242663167,-7.524230865276035,-5.700327666639525,0.6517663037943145,15,5,8.0,-4.495402242663167,9,9.18713062211487
127,-4.495402242663167,-7.508106585128486,-5.706872561663613,0.6686640791218073,15,5,8.0,-4.495402242663167,9,9.18713062211487
128,-4.495402242663167,-7.342241689057173,-5.71148832091551,0.6903471709766017,15,5,8.0,-4.495402242663167,9,9.18713062211487
129,-4.495402242663167,-7.083853195284855,-5.715091248053269,0.7095143063514595,19,5,8.0,-4.495402242663167,9,9.18713062211487
130,-4.495402242663167,-7.445635596428156,-5.666629432655919,0.7197790285644649,13,5,8.0,-4.495402242663167,9,9.18713062211487
131,-4.495402242663167,-7.140607355628623,-5.640865017636157,0.7203739921976708,15,5,8.0,-4.495402242663167,9,9.18713062211487
132,-4.495402242663167,-7.247827613580843,-5.439598572546909,0.7055571646861653,15,5,8.0,-4.495402242663167,9,9.18713062211487
133,-4.494626512089967,-7.431746557043134,-5.3658878227899685,0.6757515156191372,15,5,8.0,-4.494626512089967,9,9.185608499659562
134,-4.494626512089967,-7.199989993508316,-5.301844511474461,0.64665621612736,11,5,8.0,-4.494626512089967,9,9.185608499659562
135,-4.494626512089967,-6.482221769870626,-5.296749396679684,0.6070360984647779,15,7,8.0,-4.494626512089967,9,9.185608499659562
136,-4.494593994708146,-7.766712914077608,-5.326222288198749,0.7397588001377853,19,5,8.0,-4.494593994708146,9,9.185544694914677
137,-4.494593994708146,-7.899165327881716,-5.542325051629384,0.7816888939153341,15,5,8.0,-4.494593994708146,9,9.185544694914677
138,-4.494593994708146,-7.437654697562743,-5.56466457699964,0.7566000577362393,15,5,8.0,-4.494593994708146,9,9.185544694914677
139,-4.494593994708146,-7.924207821525573,-5.544072800423274,0.8215309716768097,15,5,8.0,-4.494593994708146,9,9.185544694914677
140,-4.494593994708146,-7.4531277403084495,-5.486763683178985,0.7391988234278533,13,5,8.0,-4.494593994708146,9,9.185544694914677
141,-4.494593994708146,-7.528522544865465,-5.508996943002143,0.7906987890358768,13,5,8.0,-4.494593994708146,9,9.185544694914677
142,-4.494593994708146,-7.770832679877894,-5.627515051351126,0.8034946414231201,15,5,8.0,-4.494593994708146,9,9.185544694914677
143,-4.492264253244708,-7.55847332900066,-5.6400247032837605,0.7460888990210748,17,5,9.0,-4.492264253244708,9,9.180973377316413
144,-4.491881483500497,-8.064306684899565,-5.71284330354653,0.8766656193818873,17,5,9.0,-4.491881483500497,9,9.180222330564721
145,-4.491881483500497,-7.451692110564932,-5.654217920055518,0.77817123694089,17,5,9.0,-4.491881483500497,9,9.180222330564721
146,-4.491881483500497,-7.3141002254332665,-5.550702553830197,0.7264592471571333,17,5,9.0,-4.491881483500497,9,9.180222330564721
147,-4.491881483500497,-8.011241919013107,-5.5324687581031355,0.7773906109018688,21,5,9.0,-4.491881483500497,9,9.180222330564721
148,-4.491881483500497,-7.351224887775639,-5.534613042986426,0.759614471569388,21,7,8.0,-4.491881483500497,9,9.180222330564721
149,-4.491881483500497,-7.388031255394298,-5.515132176268591,0.7552274496040734,15,5,8.0,-4.491881483500497,9,9.180222330564721
150,-4.491881483500497,-7.288247739212537,-5.460521108680914,0.724417923441897,17,7,8.0,-4.491881483500497,9,9.180222330564721
151,-4.491881483500497,-7.526259019738024,-5.4146429757606676,0.7125909624795531,17,5,8.0,-4.491881483500497,9,9.180222330564721
152,-4.491881483500497,-8.073412976782263,-5.549021782360046,0.7843314389442811,15,5,8.0,-4.491881483500497,9,9.180222330564721
153,-4.491881483500497,-7.537402530735307,-5.581051860280258,0.7952417536235576,19,5,9.0,-4.491881483500497,9,9.180222330564721
154,-4.491881483500497,-7.3141002254332665,-5.546509502848071,0.8243529872933237,21,5,9.0,-4.491881483500497,9,9.180222330564721
155,-4.491881483500497,-7.473135021054533,-5.546140699557239,0.8221009239078328,19,5,8.0,-4.491881483500497,9,9.180222330564721
156,-4.491881483500497,-7.173387911783904,-5.4774832216278115,0.6981147929428481,19,7,9.0,-4.491881483500497,9,9.180222330564721
157,-4.491881483500497,-7.376159232572837,-5.430617023042598,0.6617725219894636,17,7,8.0,-4.491881483500497,9,9.180222330564721
158,-4.491881483500497,-7.35642565519988,-5.46947780071702,0.6812682937769432,17,7,8.0,-4.491881483500497,9,9.180222330564721
159,-4.491881483500497,-7.8697498057539095,-5.529335004884785,0.7430604000936214,15,5,8.0,-4.491881483500497,9,9.180222330564721
160,-4.491881483500497,-7.639458132504328,-5.594179512502957,0.7464064817352382,15,5,8.0,-4.491881483500497,9,9.180222330564721
161,-4.491881483500497,-7.401736830927532,-5.401376993425718,0.6483535293022182,15,5,8.0,-4.491881483500497,9,9.180222330564721
162,-4.491881483500497,-7.603342459825592,-5.34336278542906,0.644936489407414,15,5,8.0,-4.491881483500497,9,9.180222330564721
163,-4.491881483500497,-7.863391252250003,-5.506101413071943,0.7806376064988207,15,5,8.0,-4.491881483500497,9,9.180222330564721
164,-4.491881483500497,-7.5708002013312505,-5.438233712143518,0.7151179756407302,15,5,8.0,-4.491881483500497,9,9.180222330564721
165,-4.491881483500497,-7.778640293905681,-5.450281743016933,0.7269787136214104,21,5,8.0,-4.491881483500497,9,9.180222330564721
166,-4.491881483500497,-9999.0,-105.32955900867174,994.3515423371088,15,5,8.0,-4.491881483500497,9,9.180222330564721
167,-4.491881483500497,-8.036577859012231,-5.576777672401547,0.7706980777365248,15,7,8.0,-4.491881483500497,9,9.180222330564721
168,-4.491881483500497,-8.008131675707725,-5.5163974513444005,0.7549574256310304,17,5,8.0,-4.491881483500497,9,9.180222330564721
169,-4.491881483500497,-7.349149047327363,-5.575538210690435,0.7300720396068915,17,5,9.0,-4.491881483500497,9,9.180222330564721
170,-4.491881483500497,-7.4661450993741445,-5.528358153718849,0.7200443726277571,15,7,9.0,-4.491881483500497,9,9.180222330564721
171,-4.491881483500497,-7.431679409094827,-5.49187138357306,0.7358221901521502,15,5,8.0,-4.491881483500497,9,9.180222330564721
172,-4.491881483500497,-7.64314770275349,-5.604327611810685,0.7624253335063153,17,5,8.0,-4.491881483500497,9,9.180222330564721
173,-4.491881483500497,-7.362402606030885,-5.3842509112421615,0.6819784550414468,15,5,8.0,-4.491881483500497,9,9.180222330564721
174,-4.491881483500497,-7.337451347245263,-5.371527183745911,0.6338558549788261,15,5,8.0,-4.491881483500497,9,9.180222330564721
175,-4.491881483500497,-7.484574462714611,-5.503487382908562,0.7087738086307107,13,7,8.0,-4.491881483500497,9,9.180222330564721
176,-4.491881483500497,-7.777717720762383,-5.670698896798883,0.7934255683433089,15,5,8.0,-4.491881483500497,9,9.180222330564721
177,-4.491881483500497,-7.492795271696042,-5.737229423803483,0.742941678957338,15,5,8.0,-4.491881483500497,9,9.180222330564721
178,-4.491881483500497,-7.421331486933346,-5.54123950478504,0.6975716353430714,13,5,8.0,-4.491881483500497,9,9.180222330564721
179,-4.491881483500497,-7.859072497707328,-5.42539566073294,0.7197181062154926,13,5,8.0,-4.491881483500497,9,9.180222330564721
180,-4.491881483500497,-7.294488347553287,-5.535291013096417,0.7174663509786952,17,7,8.0,-4.491881483500497,9,9.180222330564721
181,-4.491881483500497,-7.8093288086493144,-5.526102559641396,0.6877999737326759,15,7,8.0,-4.491881483500497,9,9.180222330564721
182,-4.491881483500497,-8.011241919013107,-5.473501132262217,0.7250461029950598,13,5,8.0,-4.491881483500497,9,9.180222330564721
183,-4.491881483500497,-7.638312006997206,-5.571328983469259,0.7505035912458048,13,5,8.0,-4.491881483500497,9,9.180222330564721
184,-4.491881483500497,-7.613061394385317,-5.606705887639245,0.7042261556798702,17,5,8.0,-4.491881483500497,9,9.180222330564721
185,-4.491881483500497,-7.421331486933346,-5.591259059714995,0.663878770712438,11,5,8.0,-4.491881483500497,9,9.180222330564721
186,-4.491756178011588,-7.648319985822675,-5.625743169682681,0.8103096693765103,11,5,8.0,-4.491756178011588,9,9.179976464460195
187,-4.491756178011588,-7.421331486933346,-5.492921183446947,0.6426366904294234,13,5,8.0,-4.491756178011588,9,9.179976464460195
188,-4.491756178011588,-7.421331486933346,-5.618076547553496,0.6695608910745721,13,5,8.0,-4.491756178011588,9,9.179976464460195
189,-4.491756178011588,-7.214051723873918,-5.584322376557611,0.6630241984289986,15,5,8.0,-4.491756178011588,9,9.179976464460195
190,-4.491756178011588,-7.507081420956085,-5.674685889310816,0.7594309885781191,15,5,8.0,-4.491756178011588,9,9.179976464460195
191,-4.491756178011588,-7.481978567267762,-5.60671637124777,0.739432330920739,15,5,8.0,-4.491756178011588,9,9.179976464460195
192,-4.491756178011588,-7.63957623965775,-5.499016190462765,0.6633598180537421,15,5,8.0,-4.491756178011588,9,9.179976464460195
193,-4.491756178011588,-7.44958134165188,-5.4767335784740485,0.6732425677222827,13,5,8.0,-4.491756178011588,9,9.179976464460195
194,-4.491756178011588,-7.421331486933346,-5.587099218073162,0.626959236566964,15,5,8.0,-4.491756178011588,9,9.179976464460195
195,-4.491756178011588,-7.114734801618233,-5.524445904748899,0.6207904077391776,11,7,8.0,-4.491756178011588,9,9.179976464460195
196,-4.491756178011588,-7.967600129883306,-5.481585651108748,0.643468681704957,15,7,8.0,-4.491756178011588,9,9.179976464460195
197,-4.491756178011588,-9999.0,-105.55837493942305,994.3285675141512,13,7,8.0,-4.491756178011588,9,9.179976464460195
198,-4.491756178011588,-8.02938459214062,-5.902030728959976,0.7836593543641245,13,5,8.0,-4.491756178011588,9,9.179976464460195
199,-4.491756178011588,-7.421331486933346,-5.6902112234855755,0.6777012897499246,15,7,8.0,-4.491756178011588,9,9.179976464460195
200,-4.491756178011588,-7.36168283718498,-5.728624465712119,0.7026683477513516,15,5,9.0,-4.491756178011588,9,9.179976464460195
201,-4.491756178011588,-7.367090892685699,-5.688329429255252,0.7748118392240516,15,5,8.0,-4.491756178011588,9,9.179976464460195
202,-4.491756178011588,-7.924321232704314,-5.578390859766471,0.7596221622333699,17,5,8.0,-4.491756178011588,9,9.179976464460195
203,-4.491756178011588,-7.591624598224511,-5.621495251378465,0.7648679051764635,15,5,8.0,-4.491756178011588,9,9.179976464460195
204,-4.491756178011588,-7.109370016404099,-5.537131934018302,0.6961873440206418,13,5,8.0,-4.491756178011588,9,9.179976464460195
205,-4.491756178011588,-7.427518752667254,-5.38306942906566,0.7003226461372997,11,5,8.0,-4.491756178011588,9,9.179976464460195
206,-4.491756178011588,-7.363757139422338,-5.526224220708966,0.8042793938611881,15,5,8.0,-4.491756178011588,9,9.179976464460195
207,-4.491756178011588,-7.3141002254332665,-5.539572538472177,0.8009333484029422,15,5,8.0,-4.491756178011588,9,9.179976464460195
208,-4.491756178011588,-7.1010896406932895,-5.419035983643672,0.6386681403138625,13,5,8.0,-4.491756178011588,9,9.179976464460195
209,-4.491756178011588,-7.514221480455305,-5.4941715623865175,0.75399047721573,13,5,8.0,-4.491756178011588,9,9.179976464460195
210,-4.491756178011588,-7.7016090764421,-5.569825037275879,0.7452561791393678,15,5,8.0,-4.491756178011588,9,9.179976464460195
211,-4.491756178011588,-7.27115245631566,-5.6470480626029325,0.761028254201525,15,5,8.0,-4.491756178011588,9,9.179976464460195
